Language name,Glottocode,Order with theme suffix,Order with theme suffix,Order with no theme affix,Recipient vs.,Reference,Page numbers,Glotto ref ID
,,,,,theme,,,
Amele,amel1241,,V-U-A,,R=T,Roberts 1998,,https://glottolog.org/resource/reference/id/73962
Duna,duna1248,,,other,R=T,San Roque 2008:105;225,105;225,https://glottolog.org/resource/reference/id/93110
Fore,fore1270,U-V-A,,,R=T,Scott 1978:48;107,48;107,https://glottolog.org/resource/reference/id/107238
,,,,,,,,https://glottolog.org/resource/reference/id/119595
,,,,,,,,https://glottolog.org/resource/reference/id/143885
Golin,goli1247,,,V-A,R=T,Evans et al 2005:94; Bunn 1974:113,,"https://glottolog.org/resource/reference/id/81761,"
,,,,,,,,https://glottolog.org/resource/reference/id/143054
,,,,,,,,https://glottolog.org/resource/reference/id/128765
Hua,yaga1260,other,,,R=T,Haiman 1980:371;199,371;199,https://glottolog.org/resource/reference/id/99506
Kaluli,kalu1248,,,V-A,R and T different,Grosh 2004:17;65; Schieffelin 1985:526,,"https://glottolog.org/resource/reference/id/130893,"
,,,,,,,,https://glottolog.org/resource/reference/id/132861
Kamoro,kamo1255,,V-U-A,,R=T,Drabbe 1953:14,14,https://glottolog.org/resource/reference/id/145316
Kanasi,kana1288,other,V-U-A,,R=T,Royer 1996:3;44;50,3;44;50,https://glottolog.org/resource/reference/id/553619
Karo-Rawa,rawa1267,U-V-A,V-U-A,,R=T,Toland 1991:58-61,58-61,https://glottolog.org/resource/reference/id/70647
,,,,,,,,https://glottolog.org/resource/reference/id/84220
Kewa,west2599,,,V-A,R=T,Franklin 1971:62-63,62-63,https://glottolog.org/resource/reference/id/27581
,,,,,,,,https://glottolog.org/resource/reference/id/94430
Kobon,kobo1249,,,V-A,R=T,Davies 1989:109;112,109;112,https://glottolog.org/resource/reference/id/123674
Koiari,gras1249,,V-number-A,,R=T,Dutton 2003:339-340,339-340,https://glottolog.org/resource/reference/id/101683
Korafe,kora1294,,,V-A,R=T,Farr 1999:131-133,131-133,https://glottolog.org/resource/reference/id/34264
Koromu,kesa1244,,V-U-A,,R=T,Priestly 2001:103;107,103;107,https://glottolog.org/resource/reference/id/314432
Korowai,koro1312,,,V-A,R=T,Enk & De Vries 1997:105,105,https://glottolog.org/resource/reference/id/311395
Mauwake,mauw1238,U-V-A,,,R=T,Berghäll 2010:130;146,130;146,https://glottolog.org/resource/reference/id/45084
Menya,meny1245,U-V-A,,,R=T,Whitehead  2004:95-96,95-96,https://glottolog.org/resource/reference/id/10321
Mian,mian1256,U-V-A,,,R=beneficiary,Fedden 2007:253; 257,253; 257,https://glottolog.org/resource/reference/id/35228
Nabak,naba1256,U-V-A,,,R=T,Fabian et al. 1998:45,45,https://glottolog.org/resource/reference/id/116279
Nggem,ngge1241,,V-U-A,,R=T,Etherington 2002:127;131,127;131,https://glottolog.org/resource/reference/id/159159
Salt-Yui,salt1242,,,V-A,R=T,Irwin 1974:57,57,https://glottolog.org/resource/reference/id/53259
Selepet,sele1250,U-V-A,V-U-A,,R=T,McElhanon 1972:23;40,23;40,https://glottolog.org/resource/reference/id/121598
,,,,,,,,https://glottolog.org/resource/reference/id/76930
Siroi,siro1249,,V-U-A,,R=T,Wells 1979:34;57;67,34;57;67,https://glottolog.org/resource/reference/id/62999
,,,,,,,,https://glottolog.org/resource/reference/id/47827
Suena,suen1241,,,V-A,R and T different,Wilson 1974:59;84,59;84,https://glottolog.org/resource/reference/id/60891
,,,,,,,,https://glottolog.org/resource/reference/id/130079
Tainae,tain1253,other,unclear,,R=T,Carlson 1991:12;89;92,12;89;92,https://glottolog.org/resource/reference/id/128961
Tauya,tauy1241,U-V-A,,,R=T,MacDonald 1993:73;129;216,73;129;216,https://glottolog.org/resource/reference/id/83309
Telefol,tele1256,U-V-A,,,R=beneficiary,Healey 1965:28 (Verb Phrase),28,https://glottolog.org/resource/reference/id/143580
