ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,Source_comment
sulk1246,Sulka,Papunesia,-5.03471,151.891,sulk1246,sua,150994;26815,Schneider 1942; Reesink 2005
yele1255,Yélî Dnye,Papunesia,-11.3796,154.127,yele1255,yle,,Stephen Levinson (personal communication)
kolp1236,Kol,Papunesia,-5.21042,151.583,kolp1236,kol,,(Reesink notes)
lavu1241,Lavukaleve,Papunesia,-9.05569,159.119,lavu1241,lvk,62173[228],Terrill  2003:228-230
maib1239,Maybrat,Papunesia,-1.3679,132.591,maib1239,ayz,101229[218];553279,Dol 2007:218
kuot1243,Kuot,Papunesia,-3.06952,151.537,kuot1243,kto,"46091[109,217];21547",Lindström 2002:109;217
duna1248,Duna,Papunesia,-5.41439,142.475,duna1248,duc,"93110[105,225]",San Roque 2008:105;225
tobe1252,Tobelo,Papunesia,1.0946,128.154,tobe1252,tlb,83312[21],Holton 2003:21
tido1248,Tidore,Papunesia,0.02461,127.746,tido1248,tvo,54761[212],Van Staden 2000:212
buki1249,Bukiyip,Papunesia,-3.47169,143.111,buki1249,ape,69601[32];548134,Conrad 1991:32 & 18
kama1367,Kamasau,Papunesia,-3.8503,143.842,kama1367,kms,"84092[14,16]",Sanders 1994:14;16
goli1247,Golin,Papunesia,-6.2249,144.8505,goli1247,gvf,81761[94];143054[113];128765,Evans et al 2005:94; Bunn 1974:113
salt1242,Salt-Yui,Papunesia,-6.26519,145.021,salt1242,sll,53259[57],Irwin 1974:57
naba1256,Nabak,Papunesia,-6.42709,146.966,naba1256,naf,116279[45],Fabian et al. 1998:45
sele1250,Selepet,Papunesia,-6.03532,147.234,sele1250,spl,"121598[23,40];76930",McElhanon 1972:23;40
rawa1267,Karo-Rawa,Papunesia,-5.83155,145.937,rawa1267,rwo,70647[58];84220,Toland 1991:58-61
west2599,Kewa,Papunesia,-6.32097,143.73,west2599,kew,27581[62];94430,Franklin 1971:62-63
suen1241,Suena,Papunesia,-7.76339,147.534,suen1241,sue,"60891[59,84];130079",Wilson 1974:59;84
kora1294,Korafe,Papunesia,-9.07,149.267,kora1294,kpr,34264[131],Farr 1999:131-133
ngge1241,Nggem,Papunesia,-3.62735,139.011,ngge1241,nbq,"159159[127,131]",Etherington 2002:127;131
fore1270,Fore,Papunesia,-6.64473,145.5065,fore1270,for,"107238[48,107];119595;143885",Scott 1978:48;107
yaga1260,Yagaria,Papunesia,-6.32432,145.388,yaga1260,ygr,99338[141];153754,Renck 1975:141
